mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,time_since_treatment,bridge_year
-0.032,0.125,-0.267,0.219,0.002,0.002,3430.0,2038.0,1.01,75,1987
-0.033,0.124,-0.275,0.209,0.003,0.002,2023.0,1631.0,1.0,80,1992
-0.029,0.13,-0.28,0.221,0.002,0.002,3934.0,2701.0,1.0,85,2008
-0.03,0.126,-0.283,0.205,0.002,0.002,2992.0,1553.0,1.0,53,1979
-0.028,0.124,-0.277,0.212,0.003,0.002,2112.0,737.0,1.0,58,2000
-0.033,0.124,-0.269,0.209,0.003,0.002,1813.0,3702.0,1.0,63,1961
-0.031,0.122,-0.268,0.205,0.002,0.002,4123.0,5059.0,1.0,68,1975
-0.032,0.123,-0.263,0.215,0.002,0.002,3362.0,3841.0,1.0,-48,1997
-0.031,0.125,-0.276,0.215,0.002,0.002,3361.0,3209.0,1.0,-43,1889
-0.024,0.129,-0.272,0.238,0.003,0.002,1638.0,542.0,1.01,-26,1973
-0.033,0.127,-0.282,0.21,0.003,0.003,2237.0,1599.0,1.0,-41,1972
-0.026,0.123,-0.263,0.222,0.002,0.002,4489.0,3433.0,1.0,-36,1976
-0.028,0.126,-0.269,0.226,0.002,0.002,3459.0,3799.0,1.0,-31,1970
-0.034,0.122,-0.271,0.201,0.002,0.002,3029.0,2440.0,1.0,46,1935
-0.035,0.125,-0.281,0.204,0.003,0.003,1392.0,775.0,1.0,51,1950
-0.035,0.127,-0.279,0.218,0.003,0.002,2498.0,3471.0,1.0,-46,1952
-0.035,0.124,-0.293,0.196,0.002,0.002,3294.0,1745.0,1.0,-29,1965
-0.031,0.127,-0.278,0.217,0.003,0.002,2518.0,3026.0,1.01,-24,2018
-0.028,0.122,-0.265,0.211,0.002,0.002,3635.0,3827.0,1.0,-19,1971
-0.031,0.122,-0.272,0.204,0.002,0.002,4422.0,4575.0,1.0,-14,1996
-0.032,0.124,-0.285,0.204,0.003,0.003,1423.0,1200.0,1.0,-9,2011
-0.03,0.124,-0.28,0.212,0.002,0.002,3956.0,3392.0,1.0,-4,1995
-0.03,0.119,-0.268,0.206,0.002,0.002,4316.0,2718.0,1.0,1,1967
-0.026,0.123,-0.272,0.206,0.003,0.003,2297.0,1015.0,1.0,6,2016
-0.035,0.126,-0.276,0.208,0.003,0.003,1802.0,703.0,1.0,11,1982
-0.031,0.126,-0.27,0.218,0.002,0.002,5194.0,3067.0,1.0,16,1957
-0.036,0.125,-0.282,0.195,0.003,0.002,2042.0,2961.0,1.0,21,1999
-0.033,0.128,-0.279,0.217,0.003,0.003,1364.0,1603.0,1.0,-45,2015
-0.033,0.122,-0.263,0.216,0.002,0.002,3332.0,3766.0,1.0,-40,0
-0.032,0.126,-0.283,0.203,0.003,0.002,1442.0,845.0,1.0,-35,2004
-0.034,0.126,-0.28,0.219,0.003,0.003,1783.0,1237.0,1.0,-30,1988
-0.035,0.126,-0.281,0.208,0.002,0.002,2739.0,2724.0,1.0,-25,1989
-0.033,0.126,-0.273,0.216,0.002,0.002,4338.0,4564.0,1.0,-20,1951
-0.03,0.124,-0.285,0.209,0.002,0.002,4320.0,3128.0,1.0,-15,1968
-0.031,0.126,-0.276,0.216,0.002,0.002,5446.0,3799.0,1.0,-13,1983
-0.026,0.127,-0.264,0.215,0.003,0.002,1413.0,769.0,1.01,-12,1991
-0.033,0.124,-0.284,0.197,0.002,0.002,3498.0,3344.0,1.0,-11,1987
-0.03,0.125,-0.259,0.217,0.002,0.002,2570.0,1679.0,1.0,-10,1992
