island,year,island_id,region_code,region,prefecture_code,pref,population,dummy_has_bridge,dummy_connect_mainland_by_bridge,bridge_opened_year,dummy_after_bridge_build,connect_mainland_year,dummy_after_connect_mainland,income
頭島,2009,8,33211,備前市,33,岡山県,416,1,1,2004,1,2015,0,44932159
頭島,2010,8,33211,備前市,33,岡山県,401,1,1,2004,1,2015,0,40356826
頭島,2011,8,33211,備前市,33,岡山県,394,1,1,2004,1,2015,0,40249880
頭島,2012,8,33211,備前市,33,岡山県,,1,1,2004,1,2015,0,40173600
頭島,2013,8,33211,備前市,33,岡山県,449,1,1,2004,1,2015,0,39041221
頭島,2014,8,33211,備前市,33,岡山県,421,1,1,2004,1,2015,0,38107725
頭島,2015,8,33211,備前市,33,岡山県,404,1,1,2004,1,2015,1,38095548
頭島,2016,8,33211,備前市,33,岡山県,412,1,1,2004,1,2015,1,37722427
頭島,2017,8,33211,備前市,33,岡山県,,1,1,2004,1,2015,1,37785972
頭島,2018,8,33211,備前市,33,岡山県,,1,1,2004,1,2015,1,38392197
頭島,2019,8,33211,備前市,33,岡山県,,1,1,2004,1,2015,1,38345203
頭島,2020,8,33211,備前市,33,岡山県,,1,1,2004,1,2015,1,38326682
鴻島,1995,9,33342,日生町,33,岡山県,51,0,0,0,0,0,0,11861918
鴻島,2000,9,33342,日生町,33,岡山県,,0,0,0,0,0,0,11051911
鴻島,2001,9,33342,日生町,33,岡山県,42,0,0,0,0,0,0,10462327
鴻島,2002,9,33342,日生町,33,岡山県,41,0,0,0,0,0,0,10358654
鴻島,2003,9,33342,日生町,33,岡山県,39,0,0,0,0,0,0,9300346
鴻島,2004,9,33342,日生町,33,岡山県,42,0,0,0,0,0,0,8545679
鴻島,2005,9,33211,備前市,33,岡山県,40,0,0,0,0,0,0,44222532
鴻島,2006,9,33211,備前市,33,岡山県,43,0,0,0,0,0,0,46734208
鴻島,2007,9,33211,備前市,33,岡山県,44,0,0,0,0,0,0,46506237
鴻島,2008,9,33211,備前市,33,岡山県,46,0,0,0,0,0,0,45984323
鴻島,2009,9,33211,備前市,33,岡山県,47,0,0,0,0,0,0,44932159
鴻島,2010,9,33211,備前市,33,岡山県,43,0,0,0,0,0,0,40356826
鴻島,2011,9,33211,備前市,33,岡山県,43,0,0,0,0,0,0,40249880
鴻島,2012,9,33211,備前市,33,岡山県,,0,0,0,0,0,0,40173600
鴻島,2013,9,33211,備前市,33,岡山県,58,0,0,0,0,0,0,39041221
鴻島,2014,9,33211,備前市,33,岡山県,58,0,0,0,0,0,0,38107725
鴻島,2015,9,33211,備前市,33,岡山県,56,0,0,0,0,0,0,38095548
鴻島,2016,9,33211,備前市,33,岡山県,55,0,0,0,0,0,0,37722427
鴻島,2017,9,33211,備前市,33,岡山県,54,0,0,0,0,0,0,37785972
鴻島,2018,9,33211,備前市,33,岡山県,57,0,0,0,0,0,0,38392197
鴻島,2019,9,33211,備前市,33,岡山県,57,0,0,0,0,0,0,38345203
鴻島,2020,9,33211,備前市,33,岡山県,58,0,0,0,0,0,0,38326682
長島,2000,10,33212,瀬戸内市,33,岡山県,,1,1,1988,1,1988,1,
長島,2005,10,33212,瀬戸内市,33,岡山県,,1,1,1988,1,1988,1,44181923
長島,2010,10,33212,瀬戸内市,33,岡山県,,1,1,1988,1,1988,1,42384725
長島,2015,10,33212,瀬戸内市,33,岡山県,486,1,1,1988,1,1988,1,42781240
長島,2020,10,33212,瀬戸内市,33,岡山県,364,1,1,1988,1,1988,1,45582770
前島_黄島_黒島,1995,11,33361,牛窓町,33,岡山県,287,0,0,0,0,0,0,9787922
前島_黄島_黒島,2000,11,33361,牛窓町,33,岡山県,217,0,0,0,0,0,0,8944347
前島_黄島_黒島,2005,11,33212,瀬戸内市,33,岡山県,183,0,0,0,0,0,0,44181923
前島_黄島_黒島,2010,11,33212,瀬戸内市,33,岡山県,180,0,0,0,0,0,0,42384725
前島_黄島_黒島,2015,11,33212,瀬戸内市,33,岡山県,141,0,0,0,0,0,0,42781240
前島_黄島_黒島,2020,11,33212,瀬戸内市,33,岡山県,118,0,0,0,0,0,0,45582770
犬島,2001,14,33201,（旧）岡山市,33,岡山県,80,0,0,0,0,0,0,919999070
